route_code,stopcode,StopDescrE,StopLat,StopLng
5349,60838,AG. IOANNHS,37.9575975,23.7347339
5349,170001,GARDENIA,37.9546897,23.7362355
5349,170017,NANA,37.9525373,23.7370172
5349,170019,KALOGHRON,37.9502411,23.7379246
5349,40001,FOROS,37.9473051,23.7387111
5349,40002,PANAGITSA,37.9441427,23.7394258
5349,40003,DARZENTA - ST. AG. DHMHTRIOS,37.9409334,23.7402958
5349,40004,ELKA,37.9383824,23.7411621
5349,40005,ATHINAS,37.9354806,23.7432231
5349,40006,AG. BASILEIOS,37.9333211,23.7442535
5349,40007,KARAMOLEGOY - ST. HLIOYPOLH,37.9293636,23.7441512
5349,80067,STROFH HLIOYPOLEOS,37.9270916,23.7441853
5349,80068,NORMA,37.924212,23.7442128
5349,80069,ANEMONA,37.921107,23.7441833
5349,80070,KONTOPHGADO - ST. ALIMOS,37.9181327,23.7441708
5349,110001,1st ARGYROYPOLEOS,37.9157173,23.7442019
5349,110002,2nd ARGYROYPOLEOS,37.9123743,23.7445434
5349,110003,3rd ARGYROYPOLEOS,37.9084276,23.7450235
5349,590022,4th ARGYROYPOLHS,37.9065623,23.7452119
5349,590023,ST. ARGYROYPOLH,37.902886,23.7456568
5349,590024,6th ARGYROYPOLHS,37.9007236,23.7459827
5349,590027,ST. ELLHNIKO,37.8927496,23.7471702
5349,590028,GEFYRA,37.889616,23.7485343
5349,160071,ISMHNHS,37.8870056,23.7501012
5349,160072,RODOPHS,37.8837133,23.75316
5349,160073,KARAPANOY,37.8813038,23.7560336
5349,160074,KARAXALIOY,37.8798472,23.7577555
5349,160075,PAPADOPOYLOY,37.8769805,23.7574806
3530,420063,THIVON,38.0159869,23.6920761
3530,420065,TAXYDROMEIO,38.0147792,23.6936835
3530,420066,DHMARXEIO,38.013338,23.6955712
3530,420083,ASTYNOMIA,38.0095124,23.6977418
3530,420084,ST. AG. ANTONIOS,38.0061313,23.6994963
3530,420121,LITSA,38.0050318,23.7007901
3530,420122,GEFYRA,38.0020934,23.7042646
3530,60213,PANAGITSA,38.0003745,23.7066756
3530,60214,PAPATHANASIOY,37.999462,23.7077261
3530,60215,KAPNERGOSTASIO,37.9975648,23.7098067
3530,60216,KADMOY,37.996765,23.7107893
3530,60217,ARMONIA,37.9950294,23.7123564
3530,60218,AG. KONSTANTINOS,37.9921047,23.7142128
3530,60219,KIKIZA,37.9899543,23.7157016
3530,60264,METAXOYRGEIO,37.9848996,23.7198379
3530,60269,ZHNONOS,37.9843374,23.7224646
3530,60270,AGHSILAOY,37.9829608,23.7234604
3530,61377,OMONOIA-SOKRATOYS,37.9830748,23.7259766
3530,60989,OMONOIA,37.9832755,23.7287597
3530,60717,PL. KLAYTHMONOS,37.9796813,23.7317622
3530,60718,SYNTAGMA,37.9753245,23.7338527
3530,61357,FILELLHNON,37.9729705,23.7335943
3530,10343,ZAPPEIO,37.9729095,23.7346335
5086,10343,ZAPPEIO,37.9729095,23.7346335
5086,60015,NOMISMATIKO MOYSEIO,37.9777067,23.735413
5086,61000,AKADHMIA,37.9798734,23.7335091
5086,61004,OMONOIA,37.9840598,23.7289109
5086,60982,AG. KONSTANTINOS,37.9849613,23.7233049
5086,60242,METAXOYRGEIO,37.985215,23.7200813
5086,60204,PL. METAXOYRGEIOY,37.9860954,23.7188936
5086,60205,PALAMHDIOY,37.9894423,23.7164438
5086,60206,SXOLEIA,37.990828,23.7154704
5086,60207,AG. KONSTANTINOS,37.9925825,23.7142565
5086,60208,ARMONIA,37.9944007,23.7132472
5086,60209,KADMOY,37.9965618,23.7116196
5086,60210,KAPNERGOSTASIO,37.998474,23.7093931
5086,60211,PAPATHANASIOY,38.0009179,23.7063081
5086,420001,GEFYRA,38.0024024,23.7044763
5086,420018,LITSA,38.0049708,23.7013507
5086,420019,ST. AG.ANTONIOS,38.0061743,23.6999539
5086,420020,ASTYNOMIA,38.0099542,23.6977969
5086,420021,DHMARXEIO,38.0127067,23.6966784
5086,420022,TAXYDROMEIO,38.0148204,23.6940632
5086,420036,THIBON,38.0159825,23.6925654
2995,400080,PL. KORAH,37.9415552,23.6459535
2995,400506,DHMOTIKO THEATRO,37.9434546,23.648175
2995,400507,KOYNTOYRIOTOY,37.9427197,23.6495784
2995,400058,BENIZELOY,37.9426629,23.6514936
2995,400034,EYAGGELISTRIA,37.9460509,23.6544566
2995,400101,STATISTIKH YPHRESIA,37.9494107,23.6579703
2995,400102,XROPEI,37.9503791,23.6607003
2995,400103,ELAIS,37.9515959,23.6645267
2995,400104,APOLLON,37.9527046,23.6677315
2995,400105,ION,37.953432,23.6700161
2995,400106,GEFYRA,37.9543229,23.6727212
2995,320027,PSYGEIA,37.9550958,23.6751992
2995,320028,MANOY,37.9559999,23.6778579
2995,320029,MOSXATO,37.9571004,23.6812753
2995,320030,ELBYN,37.9577317,23.6833267
2995,320031,LAXANAGORA,37.9583225,23.6851568
2995,320032,ZHLAKOY,37.9589312,23.6869642
2995,320033,YFANTHRIA,37.9611206,23.6901196
2995,320034,BIOXALKO,37.9632892,23.6922165
2995,450013,SFAGEIA,37.9658831,23.6949608
2995,450014,TAYROS,37.9678194,23.6979014
2995,60290,ERGON,37.9694054,23.7013332
2995,60291,ELOYLOY,37.970058,23.7027879
2995,60292,YPOYRGEIO,37.9715061,23.7048681
2995,60293,KOLYMBHTHRIO,37.9740462,23.7085862
2995,60294,KAMPA,37.9751238,23.7102138
2995,60295,FOTAERIO,37.9767253,23.7127808
2995,60296,PAL. AGORA,37.9784672,23.7160909
2995,60297,ASOMATON,37.9798943,23.7187806
2995,60298,IKA,37.9810182,23.7213953
2995,60299,ODEIO,37.9821511,23.7238491
2995,10184,OMONOIAS,37.9832505,23.7277335
3086,10184,OMONOIAS,37.9832505,23.7277335
3086,60278,AFETHRIA,37.9813112,23.7272243
3086,60279,MENANDROY,37.9815045,23.7250601
3086,60281,IKA,37.981787,23.7225425
